Fonction;Operation;nbIteration;Taux de réussite (%);Temps d'entrainement(nanosecondes);
Sigmoïde;AND;10;75,000000;577600;
Sigmoïde;AND;11;75,000000;166400;
Sigmoïde;AND;12;75,000000;239500;
Sigmoïde;AND;13;75,000000;147800;
Sigmoïde;AND;14;75,000000;185400;
Sigmoïde;AND;15;75,000000;167100;
Sigmoïde;AND;16;75,000000;156900;
Sigmoïde;AND;17;75,000000;124500;
Sigmoïde;AND;18;75,000000;195300;
Sigmoïde;AND;19;75,000000;135200;
Sigmoïde;AND;20;75,000000;153300;
Sigmoïde;AND;21;75,000000;150000;
Sigmoïde;AND;22;75,000000;223400;
Sigmoïde;AND;23;75,000000;163500;
Sigmoïde;AND;24;75,000000;173900;
Sigmoïde;AND;25;75,000000;192900;
Sigmoïde;AND;26;75,000000;337800;
Sigmoïde;AND;27;75,000000;349900;
Sigmoïde;AND;28;75,000000;224600;
Sigmoïde;AND;29;75,000000;191400;
Sigmoïde;AND;30;75,000000;201300;
Sigmoïde;AND;31;75,000000;208500;
Sigmoïde;AND;32;75,000000;212700;
Sigmoïde;AND;33;75,000000;221600;
Sigmoïde;AND;34;75,000000;229000;
Sigmoïde;AND;35;75,000000;234400;
Sigmoïde;AND;36;75,000000;277200;
Sigmoïde;AND;37;75,000000;269900;
Sigmoïde;AND;38;75,000000;431900;
Sigmoïde;AND;39;75,000000;401300;
Sigmoïde;AND;40;75,000000;398400;
Sigmoïde;AND;41;75,000000;327600;
Sigmoïde;AND;42;75,000000;464800;
Sigmoïde;AND;43;100,000000;340900;
Sigmoïde;AND;44;100,000000;326700;
Sigmoïde;AND;45;100,000000;335700;
Sigmoïde;AND;46;100,000000;335500;
Sigmoïde;AND;47;100,000000;336700;
Sigmoïde;AND;48;100,000000;340200;
Sigmoïde;AND;49;100,000000;520600;
Sigmoïde;AND;50;100,000000;405400;
Sigmoïde;AND;51;100,000000;331100;
Sigmoïde;AND;52;100,000000;382900;
Sigmoïde;AND;53;100,000000;369900;
Sigmoïde;AND;54;100,000000;357900;
Sigmoïde;AND;55;100,000000;393000;
Sigmoïde;AND;56;100,000000;442900;
Sigmoïde;AND;57;100,000000;380300;
Sigmoïde;AND;58;100,000000;392100;
Sigmoïde;AND;59;100,000000;393900;
Sigmoïde;AND;60;100,000000;407800;
Sigmoïde;AND;61;100,000000;409400;
Sigmoïde;AND;62;100,000000;512500;
Sigmoïde;AND;63;100,000000;543300;
Sigmoïde;AND;64;100,000000;489700;
Sigmoïde;AND;65;100,000000;449200;
Sigmoïde;AND;66;100,000000;455700;
Sigmoïde;AND;67;100,000000;469200;
Sigmoïde;AND;68;100,000000;468500;
Sigmoïde;AND;69;100,000000;477700;
Sigmoïde;AND;70;100,000000;483400;
Sigmoïde;AND;71;100,000000;502100;
Sigmoïde;AND;72;100,000000;498700;
Sigmoïde;AND;73;100,000000;540900;
Sigmoïde;AND;74;100,000000;540500;
Sigmoïde;AND;75;100,000000;565400;
Sigmoïde;AND;76;100,000000;634100;
Sigmoïde;AND;77;100,000000;1030600;
Sigmoïde;AND;78;100,000000;700700;
Sigmoïde;AND;79;100,000000;639400;
Sigmoïde;AND;80;100,000000;821000;
Sigmoïde;AND;81;100,000000;620900;
Sigmoïde;AND;82;100,000000;756300;
Sigmoïde;AND;83;100,000000;580800;
Sigmoïde;AND;84;100,000000;597900;
Sigmoïde;AND;85;100,000000;648400;
Sigmoïde;AND;86;100,000000;726900;
Sigmoïde;AND;87;100,000000;607600;
Sigmoïde;AND;88;100,000000;641000;
Sigmoïde;AND;89;100,000000;630400;
Sigmoïde;AND;90;100,000000;651700;
Sigmoïde;AND;91;100,000000;477800;
Sigmoïde;AND;92;100,000000;458300;
Sigmoïde;AND;93;100,000000;455400;
Sigmoïde;AND;94;100,000000;460700;
Sigmoïde;AND;95;100,000000;460500;
Sigmoïde;AND;96;100,000000;464300;
Sigmoïde;AND;97;100,000000;488500;
Sigmoïde;AND;98;100,000000;467100;
Sigmoïde;AND;99;100,000000;468100;
Sigmoïde;AND;100;100,000000;492300;
Sigmoïde;AND;101;100,000000;485500;
Sigmoïde;AND;102;100,000000;548400;
Sigmoïde;AND;103;100,000000;510900;
Sigmoïde;AND;104;100,000000;533400;
Sigmoïde;AND;105;100,000000;594300;
Sigmoïde;AND;106;100,000000;533600;
Sigmoïde;AND;107;100,000000;515000;
Sigmoïde;AND;108;100,000000;552500;
Sigmoïde;AND;109;100,000000;601800;
Sigmoïde;AND;110;100,000000;544900;
Sigmoïde;AND;111;100,000000;610300;
Sigmoïde;AND;112;100,000000;533200;
Sigmoïde;AND;113;100,000000;576600;
Sigmoïde;AND;114;100,000000;561600;
Sigmoïde;AND;115;100,000000;617900;
Sigmoïde;AND;116;100,000000;555400;
Sigmoïde;AND;117;100,000000;860800;
Sigmoïde;AND;118;100,000000;888800;
Sigmoïde;AND;119;100,000000;998300;
Sigmoïde;AND;120;100,000000;632600;
Sigmoïde;AND;121;100,000000;932600;
Sigmoïde;AND;122;100,000000;864500;
Sigmoïde;AND;123;100,000000;770300;
Sigmoïde;AND;124;100,000000;1083300;
Sigmoïde;AND;125;100,000000;716100;
