Fonction;Operation;nbIteration;Taux de réussite (%);Temps d'entrainement(nanosecondes);
Sigmoïde;OR;10;25,000000;34400;
Sigmoïde;OR;11;75,000000;28500;
Sigmoïde;OR;12;75,000000;14900;
Sigmoïde;OR;13;75,000000;33000;
Sigmoïde;OR;14;75,000000;17000;
Sigmoïde;OR;15;75,000000;18200;
Sigmoïde;OR;16;75,000000;19300;
Sigmoïde;OR;17;75,000000;20500;
Sigmoïde;OR;18;75,000000;21700;
Sigmoïde;OR;19;75,000000;22900;
Sigmoïde;OR;20;75,000000;24200;
Sigmoïde;OR;21;75,000000;25400;
Sigmoïde;OR;22;75,000000;34800;
Sigmoïde;OR;23;75,000000;20800;
Sigmoïde;OR;24;75,000000;21800;
Sigmoïde;OR;25;75,000000;22700;
Sigmoïde;OR;26;75,000000;23700;
Sigmoïde;OR;27;75,000000;24600;
Sigmoïde;OR;28;75,000000;25600;
Sigmoïde;OR;29;75,000000;26500;
Sigmoïde;OR;30;75,000000;27300;
Sigmoïde;OR;31;75,000000;28200;
Sigmoïde;OR;32;75,000000;29300;
Sigmoïde;OR;33;75,000000;29800;
Sigmoïde;OR;34;75,000000;30800;
Sigmoïde;OR;35;75,000000;31800;
Sigmoïde;OR;36;75,000000;32500;
Sigmoïde;OR;37;100,000000;33400;
Sigmoïde;OR;38;100,000000;34400;
Sigmoïde;OR;39;100,000000;35100;
Sigmoïde;OR;40;100,000000;36200;
Sigmoïde;OR;41;100,000000;37300;
Sigmoïde;OR;42;100,000000;38200;
Sigmoïde;OR;43;100,000000;39000;
Sigmoïde;OR;44;100,000000;40000;
Sigmoïde;OR;45;100,000000;76400;
Sigmoïde;OR;46;100,000000;41600;
Sigmoïde;OR;47;100,000000;42500;
Sigmoïde;OR;48;100,000000;43200;
Sigmoïde;OR;49;100,000000;44200;
Sigmoïde;OR;50;100,000000;45100;
Sigmoïde;OR;51;100,000000;46200;
Sigmoïde;OR;52;100,000000;47300;
Sigmoïde;OR;53;100,000000;48300;
Sigmoïde;OR;54;100,000000;49300;
Sigmoïde;OR;55;100,000000;56000;
Sigmoïde;OR;56;100,000000;50900;
Sigmoïde;OR;57;100,000000;113300;
Sigmoïde;OR;58;100,000000;91000;
Sigmoïde;OR;59;100,000000;90100;
Sigmoïde;OR;60;100,000000;114900;
Sigmoïde;OR;61;100,000000;105300;
Sigmoïde;OR;62;100,000000;72200;
Sigmoïde;OR;63;100,000000;57000;
Sigmoïde;OR;64;100,000000;57800;
Sigmoïde;OR;65;100,000000;58600;
Sigmoïde;OR;66;100,000000;59900;
Sigmoïde;OR;67;100,000000;61100;
Sigmoïde;OR;68;100,000000;62000;
Sigmoïde;OR;69;100,000000;62800;
Sigmoïde;OR;70;100,000000;63700;
Sigmoïde;OR;71;100,000000;64600;
Sigmoïde;OR;72;100,000000;65200;
Sigmoïde;OR;73;100,000000;66100;
Sigmoïde;OR;74;100,000000;67200;
Sigmoïde;OR;75;100,000000;68100;
Sigmoïde;OR;76;100,000000;68800;
Sigmoïde;OR;77;100,000000;70100;
Sigmoïde;OR;78;100,000000;71000;
Sigmoïde;OR;79;100,000000;72000;
Sigmoïde;OR;80;100,000000;72800;
Sigmoïde;OR;81;100,000000;73400;
Sigmoïde;OR;82;100,000000;77700;
Sigmoïde;OR;83;100,000000;75300;
Sigmoïde;OR;84;100,000000;97700;
Sigmoïde;OR;85;100,000000;91400;
Sigmoïde;OR;86;100,000000;78300;
Sigmoïde;OR;87;100,000000;99200;
Sigmoïde;OR;88;100,000000;94100;
Sigmoïde;OR;89;100,000000;80500;
Sigmoïde;OR;90;100,000000;81600;
Sigmoïde;OR;91;100,000000;82100;
Sigmoïde;OR;92;100,000000;83000;
Sigmoïde;OR;93;100,000000;84800;
Sigmoïde;OR;94;100,000000;85700;
Sigmoïde;OR;95;100,000000;86800;
Sigmoïde;OR;96;100,000000;87400;
Sigmoïde;OR;97;100,000000;88300;
