Fonction;Operation;nbIteration;Taux de réussite (%);Temps d'entrainement(nanosecondes);
Sigmoïde;XOR;10;50,000000;10400;
Sigmoïde;XOR;11;50,000000;10400;
Sigmoïde;XOR;12;50,000000;11300;
Sigmoïde;XOR;13;50,000000;12200;
Sigmoïde;XOR;14;50,000000;13100;
Sigmoïde;XOR;15;50,000000;14000;
Sigmoïde;XOR;16;50,000000;15000;
Sigmoïde;XOR;17;50,000000;15900;
Sigmoïde;XOR;18;50,000000;16900;
Sigmoïde;XOR;19;50,000000;17700;
Sigmoïde;XOR;20;50,000000;18900;
Sigmoïde;XOR;21;50,000000;19700;
Sigmoïde;XOR;22;50,000000;20700;
Sigmoïde;XOR;23;50,000000;21600;
Sigmoïde;XOR;24;50,000000;22600;
Sigmoïde;XOR;25;50,000000;23500;
Sigmoïde;XOR;26;50,000000;24400;
Sigmoïde;XOR;27;50,000000;25400;
Sigmoïde;XOR;28;50,000000;26200;
Sigmoïde;XOR;29;50,000000;27200;
Sigmoïde;XOR;30;50,000000;28200;
Sigmoïde;XOR;31;50,000000;29000;
Sigmoïde;XOR;32;50,000000;29800;
Sigmoïde;XOR;33;50,000000;31000;
Sigmoïde;XOR;34;50,000000;31900;
Sigmoïde;XOR;35;50,000000;32800;
Sigmoïde;XOR;36;50,000000;33700;
Sigmoïde;XOR;37;50,000000;34800;
Sigmoïde;XOR;38;50,000000;35600;
Sigmoïde;XOR;39;50,000000;36400;
Sigmoïde;XOR;40;50,000000;37600;
Sigmoïde;XOR;41;50,000000;38600;
Sigmoïde;XOR;42;50,000000;39400;
Sigmoïde;XOR;43;50,000000;40400;
Sigmoïde;XOR;44;50,000000;41300;
Sigmoïde;XOR;45;50,000000;42000;
Sigmoïde;XOR;46;50,000000;43200;
Sigmoïde;XOR;47;50,000000;43900;
Sigmoïde;XOR;48;50,000000;45000;
Sigmoïde;XOR;49;50,000000;46000;
Sigmoïde;XOR;50;50,000000;47000;
Sigmoïde;XOR;51;50,000000;47500;
Sigmoïde;XOR;52;50,000000;48700;
Sigmoïde;XOR;53;50,000000;49600;
Sigmoïde;XOR;54;50,000000;50700;
Sigmoïde;XOR;55;50,000000;51300;
Sigmoïde;XOR;56;50,000000;52300;
Sigmoïde;XOR;57;50,000000;53400;
Sigmoïde;XOR;58;50,000000;54300;
Sigmoïde;XOR;59;50,000000;55300;
Sigmoïde;XOR;60;50,000000;56300;
Sigmoïde;XOR;61;50,000000;56900;
