Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes)
Tanh;AND;10;30,789307;567800
Tanh;AND;11;30,753367;238200
Tanh;AND;12;30,100457;180400
Tanh;AND;13;29,156458;179499
Tanh;AND;14;28,160906;191399
Tanh;AND;15;27,254111;99900
Tanh;AND;16;26,457097;90801
Tanh;AND;17;25,734411;80901
Tanh;AND;18;25,048425;57200
Tanh;AND;19;24,373369;58500
Tanh;AND;20;23,693833;55900
Tanh;AND;21;23,002086;57599
Tanh;AND;22;22,295954;64000
Tanh;AND;23;21,576663;68300
Tanh;AND;24;20,846355;67500
Tanh;AND;25;20,105001;71200
Tanh;AND;26;19,34626;76599
Tanh;AND;27;18,551436;78300
Tanh;AND;28;17,680014;86700
Tanh;AND;29;16,656139;81500
Tanh;AND;30;15,362513;100900
Tanh;AND;31;13,691219;84401
Tanh;AND;32;11,688014;92801
Tanh;AND;33;9,613834;90900
Tanh;AND;34;7,758708;93399
Tanh;AND;35;6,258249;98000
Tanh;AND;36;5,102931;100499
Tanh;AND;37;4,225006;102800
Tanh;AND;38;3,553844;105499
Tanh;AND;39;3,033412;108900
Tanh;AND;40;2,623075;93900
Tanh;AND;41;2,294131;205300
Tanh;AND;42;2,026328;157899
Tanh;AND;43;1,805221;137500
Tanh;AND;44;1,620359;104600
Tanh;AND;45;1,464056;113200
Tanh;AND;46;1,33057;109900
Tanh;AND;47;1,215544;165100
Tanh;AND;48;1,115624;130400
Tanh;AND;49;1,028197;166100
Tanh;AND;50;0,951197;169001
Tanh;AND;51;0,882978;120100
Tanh;AND;52;0,822211;136801
Tanh;AND;53;0,767813;124299
Tanh;AND;54;0,718896;125200
Tanh;AND;55;0,674723;128400
Tanh;AND;56;0,634682;183900
Tanh;AND;57;0,598255;133999
Tanh;AND;58;0,565008;140000
Tanh;AND;59;0,534568;143800
Tanh;AND;60;0,50662;141400
Tanh;AND;61;0,48089;144501
Tanh;AND;62;0,457143;166199
Tanh;AND;63;0,435174;146299
Tanh;AND;64;0,414805;208100
