Fonction;Operation;nbIteration;Taux de réussite (%);Temps d'entrainement(nanosecondes);
Tanh;OR;10;75,000000;42600;
Tanh;OR;11;100,000000;19900;
Tanh;OR;12;100,000000;35900;
Tanh;OR;13;100,000000;60500;
Tanh;OR;14;100,000000;52700;
Tanh;OR;15;100,000000;58700;
Tanh;OR;16;100,000000;28500;
Tanh;OR;17;100,000000;42200;
Tanh;OR;18;100,000000;31300;
Tanh;OR;19;100,000000;31300;
Tanh;OR;20;100,000000;44400;
Tanh;OR;21;100,000000;75400;
Tanh;OR;22;100,000000;109700;
Tanh;OR;23;100,000000;80200;
Tanh;OR;24;100,000000;40100;
Tanh;OR;25;100,000000;41800;
Tanh;OR;26;100,000000;80600;
Tanh;OR;27;100,000000;44200;
Tanh;OR;28;100,000000;140600;
Tanh;OR;29;100,000000;62900;
Tanh;OR;30;100,000000;49500;
Tanh;OR;31;100,000000;114300;
Tanh;OR;32;100,000000;105400;
Tanh;OR;33;100,000000;54200;
Tanh;OR;34;100,000000;55500;
Tanh;OR;35;100,000000;57100;
Tanh;OR;36;100,000000;89500;
Tanh;OR;37;100,000000;60700;
Tanh;OR;38;100,000000;62200;
Tanh;OR;39;100,000000;73300;
Tanh;OR;40;100,000000;65300;
Tanh;OR;41;100,000000;68400;
Tanh;OR;42;100,000000;69100;
Tanh;OR;43;100,000000;70500;
Tanh;OR;44;100,000000;72000;
Tanh;OR;45;100,000000;74500;
Tanh;OR;46;100,000000;75300;
Tanh;OR;47;100,000000;76900;
Tanh;OR;48;100,000000;78700;
Tanh;OR;49;100,000000;80300;
Tanh;OR;50;100,000000;83000;
Tanh;OR;51;100,000000;91600;
Tanh;OR;52;100,000000;108300;
Tanh;OR;53;100,000000;213700;
Tanh;OR;54;100,000000;142700;
Tanh;OR;55;100,000000;90100;
Tanh;OR;56;100,000000;91800;
Tanh;OR;57;100,000000;116900;
Tanh;OR;58;100,000000;95100;
Tanh;OR;59;100,000000;96900;
Tanh;OR;60;100,000000;98300;
Tanh;OR;61;100,000000;110000;
Tanh;OR;62;100,000000;101900;
Tanh;OR;63;100,000000;111800;
Tanh;OR;64;100,000000;126100;
Tanh;OR;65;100,000000;121000;
