Fonction;Operation;nbIteration;Taux de réussite (%);Temps d'entrainement(nanosecondes);
Tanh;XOR;10;50,000000;24600;
Tanh;XOR;11;50,000000;20300;
Tanh;XOR;12;50,000000;37900;
Tanh;XOR;13;50,000000;23200;
Tanh;XOR;14;50,000000;31500;
Tanh;XOR;15;75,000000;26300;
Tanh;XOR;16;75,000000;29200;
Tanh;XOR;17;75,000000;30300;
Tanh;XOR;18;75,000000;29800;
Tanh;XOR;19;75,000000;31400;
Tanh;XOR;20;75,000000;61300;
Tanh;XOR;21;75,000000;35300;
Tanh;XOR;22;75,000000;745300;
Tanh;XOR;23;75,000000;38600;
Tanh;XOR;24;75,000000;40300;
Tanh;XOR;25;75,000000;43200;
Tanh;XOR;26;75,000000;43100;
Tanh;XOR;27;75,000000;51200;
Tanh;XOR;28;100,000000;49200;
Tanh;XOR;29;100,000000;91000;
Tanh;XOR;30;100,000000;50800;
Tanh;XOR;31;100,000000;52700;
Tanh;XOR;32;100,000000;54600;
Tanh;XOR;33;100,000000;55700;
Tanh;XOR;34;100,000000;60300;
Tanh;XOR;35;100,000000;59400;
Tanh;XOR;36;100,000000;91700;
Tanh;XOR;37;100,000000;62800;
Tanh;XOR;38;100,000000;65100;
Tanh;XOR;39;100,000000;66800;
Tanh;XOR;40;100,000000;68600;
Tanh;XOR;41;100,000000;95400;
Tanh;XOR;42;100,000000;72300;
Tanh;XOR;43;100,000000;74300;
Tanh;XOR;44;100,000000;75800;
Tanh;XOR;45;100,000000;99600;
Tanh;XOR;46;100,000000;86000;
Tanh;XOR;47;100,000000;81500;
Tanh;XOR;48;100,000000;82600;
Tanh;XOR;49;100,000000;84200;
Tanh;XOR;50;100,000000;112800;
Tanh;XOR;51;100,000000;87800;
Tanh;XOR;52;100,000000;90000;
Tanh;XOR;53;100,000000;91300;
Tanh;XOR;54;100,000000;94000;
Tanh;XOR;55;100,000000;94600;
Tanh;XOR;56;100,000000;96300;
Tanh;XOR;57;100,000000;99000;
Tanh;XOR;58;100,000000;100000;
Tanh;XOR;59;100,000000;101500;
Tanh;XOR;60;100,000000;103300;
Tanh;XOR;61;100,000000;105700;
Tanh;XOR;62;100,000000;106900;
Tanh;XOR;63;100,000000;108400;
Tanh;XOR;64;100,000000;110900;
Tanh;XOR;65;100,000000;112400;
Tanh;XOR;66;100,000000;118200;
Tanh;XOR;67;100,000000;116000;
Tanh;XOR;68;100,000000;117100;
Tanh;XOR;69;100,000000;119100;
Tanh;XOR;70;100,000000;120000;
Tanh;XOR;71;100,000000;120900;
