nbNeuronesCaches1;nbNeuronesCaches2;taux;resultat en %
25;0;0,010000;9,900000
25;0;0,050000;9,900000
25;0;0,100000;9,900000
25;0;0,300000;9,900000
25;0;0,500000;9,900000
25;25;0,010000;20,200000
25;25;0,050000;31,700000
25;25;0,100000;46,700000
25;25;0,300000;39,700000
25;25;0,500000;21,700000
25;50;0,010000;9,900000
25;50;0,050000;70,400000
25;50;0,100000;60,000000
25;50;0,300000;30,800000
25;50;0,500000;22,300000
25;75;0,010000;9,900000
25;75;0,050000;60,500000
25;75;0,100000;68,100000
25;75;0,300000;33,600000
25;75;0,500000;27,500000
25;100;0,010000;21,400000
25;100;0,050000;65,800000
25;100;0,100000;71,600000
25;100;0,300000;68,000000
25;100;0,500000;33,900000
50;0;0,010000;9,900000
50;0;0,050000;9,900000
50;0;0,100000;9,900000
50;0;0,300000;9,900000
50;0;0,500000;9,900000
50;25;0,010000;16,300000
50;25;0,050000;31,100000
50;25;0,100000;61,100000
50;25;0,300000;35,100000
50;25;0,500000;21,600000
50;50;0,010000;10,900000
50;50;0,050000;50,400000
50;50;0,100000;62,600000
50;50;0,300000;59,000000
50;50;0,500000;40,800000
50;75;0,010000;21,500000
50;75;0,050000;66,000000
50;75;0,100000;73,900000
50;75;0,300000;75,500000
50;75;0,500000;30,000000
50;100;0,010000;9,900000
50;100;0,050000;64,800000
50;100;0,100000;71,600000
50;100;0,300000;76,400000
50;100;0,500000;17,700000
75;0;0,010000;9,900000
75;0;0,050000;9,900000
75;0;0,100000;9,900000
75;0;0,300000;9,900000
75;0;0,500000;9,900000
75;25;0,010000;28,100000
75;25;0,050000;62,800000
75;25;0,100000;38,800000
75;25;0,300000;18,100000
75;25;0,500000;17,900000
75;50;0,010000;9,900000
75;50;0,050000;56,900000
75;50;0,100000;61,500000
75;50;0,300000;49,900000
75;50;0,500000;16,400000
75;75;0,010000;9,900000
75;75;0,050000;43,200000
75;75;0,100000;55,100000
75;75;0,300000;70,300000
75;75;0,500000;25,300000
75;100;0,010000;9,900000
75;100;0,050000;60,700000
75;100;0,100000;63,600000
75;100;0,300000;67,900000
75;100;0,500000;23,900000
100;0;0,010000;9,900000
100;0;0,050000;9,900000
100;0;0,100000;9,900000
100;0;0,300000;9,900000
100;0;0,500000;9,900000
100;25;0,010000;9,900000
100;25;0,050000;53,000000
100;25;0,100000;46,400000
100;25;0,300000;24,500000
100;25;0,500000;22,700000
100;50;0,010000;9,900000
100;50;0,050000;54,400000
100;50;0,100000;61,800000
100;50;0,300000;24,300000
100;50;0,500000;22,200000
100;75;0,010000;9,900000
100;75;0,050000;57,300000
100;75;0,100000;50,600000
100;75;0,300000;64,200000
100;75;0,500000;25,100000
100;100;0,010000;9,900000
100;100;0,050000;65,000000
100;100;0,100000;71,700000
100;100;0,300000;58,000000
100;100;0,500000;78,100000
