Fonction de transfert;nbNeuronesCaches1;nbNeuronesCaches2;taux;resultat mlp en %
Sigmoïde;25;0;0,010000;93,010000
Tanh;25;0;0,010000;91,650000
Sigmoïde;25;0;0,050000;93,520000
Tanh;25;0;0,050000;87,320000
Sigmoïde;25;0;0,100000;93,230000
Tanh;25;0;0,100000;86,660000
Sigmoïde;25;0;0,300000;93,300000
Tanh;25;0;0,300000;19,380000
Sigmoïde;25;0;0,500000;93,390000
Tanh;25;0;0,500000;16,910000
Sigmoïde;25;25;0,010000;90,990000
Tanh;25;25;0,010000;93,120000
Sigmoïde;25;25;0,050000;92,930000
Tanh;25;25;0,050000;92,380000
Sigmoïde;25;25;0,100000;92,960000
Tanh;25;25;0,100000;91,990000
Sigmoïde;25;25;0,300000;93,220000
Tanh;25;25;0,300000;11,350000
Sigmoïde;25;25;0,500000;92,010000
Tanh;25;25;0,500000;9,800000
Sigmoïde;25;50;0,010000;89,030000
Tanh;25;50;0,010000;92,200000
Sigmoïde;25;50;0,050000;92,760000
Tanh;25;50;0,050000;91,500000
Sigmoïde;25;50;0,100000;92,520000
Tanh;25;50;0,100000;90,980000
Sigmoïde;25;50;0,300000;92,980000
Tanh;25;50;0,300000;13,880000
Sigmoïde;25;50;0,500000;93,130000
Tanh;25;50;0,500000;10,650000
Sigmoïde;25;75;0,010000;91,350000
Tanh;25;75;0,010000;92,940000
Sigmoïde;25;75;0,050000;92,710000
Tanh;25;75;0,050000;91,930000
Sigmoïde;25;75;0,100000;92,840000
Tanh;25;75;0,100000;91,680000
Sigmoïde;25;75;0,300000;92,900000
Tanh;25;75;0,300000;9,820000
Sigmoïde;25;75;0,500000;92,800000
Tanh;25;75;0,500000;9,580000
Sigmoïde;25;100;0,010000;90,020000
Tanh;25;100;0,010000;92,330000
Sigmoïde;25;100;0,050000;92,370000
Tanh;25;100;0,050000;91,450000
Sigmoïde;25;100;0,100000;92,430000
Tanh;25;100;0,100000;91,550000
Sigmoïde;25;100;0,300000;92,310000
Tanh;25;100;0,300000;9,520000
Sigmoïde;25;100;0,500000;93,170000
Tanh;25;100;0,500000;10,150000
Sigmoïde;25;125;0,010000;91,160000
Tanh;25;125;0,010000;91,850000
Sigmoïde;25;125;0,050000;92,560000
Tanh;25;125;0,050000;91,340000
Sigmoïde;25;125;0,100000;92,380000
Tanh;25;125;0,100000;90,950000
Sigmoïde;25;125;0,300000;92,580000
Tanh;25;125;0,300000;11,550000
Sigmoïde;25;125;0,500000;92,830000
Tanh;25;125;0,500000;0,000000
Sigmoïde;25;150;0,010000;89,640000
Tanh;25;150;0,010000;91,740000
Sigmoïde;25;150;0,050000;91,730000
Tanh;25;150;0,050000;91,200000
Sigmoïde;25;150;0,100000;92,720000
Tanh;25;150;0,100000;91,860000
Sigmoïde;25;150;0,300000;93,030000
Tanh;25;150;0,300000;7,750000
Sigmoïde;25;150;0,500000;92,540000
Tanh;25;150;0,500000;9,800000
Sigmoïde;50;0;0,010000;94,010000
Tanh;50;0;0,010000;92,190000
Sigmoïde;50;0;0,050000;94,530000
Tanh;50;0;0,050000;88,530000
Sigmoïde;50;0;0,100000;94,650000
Tanh;50;0;0,100000;88,440000
Sigmoïde;50;0;0,300000;94,660000
Tanh;50;0;0,300000;14,860000
Sigmoïde;50;0;0,500000;94,910000
Tanh;50;0;0,500000;10,060000
Sigmoïde;50;25;0,010000;91,700000
Tanh;50;25;0,010000;93,790000
Sigmoïde;50;25;0,050000;93,740000
Tanh;50;25;0,050000;93,240000
Sigmoïde;50;25;0,100000;94,490000
Tanh;50;25;0,100000;92,550000
Sigmoïde;50;25;0,300000;94,400000
Tanh;50;25;0,300000;10,320000
Sigmoïde;50;25;0,500000;94,530000
Tanh;50;25;0,500000;15,380000
