Algo;Problème;Seed;N;K;Temps;
bfs;dum;100;100;2;0;
bfs;dum;100;101;2;0;
bfs;dum;100;102;2;0;
bfs;dum;100;103;2;0;
bfs;dum;100;104;2;0;
bfs;dum;100;105;2;0;
bfs;dum;100;106;2;16;
bfs;dum;100;107;2;0;
bfs;dum;100;108;2;0;
bfs;dum;100;109;2;15;
bfs;dum;100;110;2;0;
bfs;dum;100;111;2;0;
bfs;dum;100;112;2;0;
bfs;dum;100;113;2;25;
bfs;dum;100;114;2;8;
bfs;dum;100;115;2;7;
bfs;dum;100;116;2;0;
bfs;dum;100;117;2;6;
bfs;dum;100;118;2;8;
bfs;dum;100;119;2;8;
bfs;dum;100;120;2;0;
bfs;dum;100;121;2;16;
bfs;dum;100;122;2;0;
bfs;dum;100;123;2;0;
bfs;dum;100;124;2;2;
bfs;dum;100;125;2;16;
bfs;dum;100;126;2;16;
bfs;dum;100;127;2;16;
bfs;dum;100;128;2;15;
bfs;dum;100;129;2;0;
bfs;dum;100;130;2;25;
bfs;dum;100;131;2;9;
bfs;dum;100;132;2;12;
bfs;dum;100;133;2;8;
bfs;dum;100;134;2;0;
bfs;dum;100;135;2;29;
bfs;dum;100;136;2;32;
bfs;dum;100;137;2;21;
bfs;dum;100;138;2;27;
bfs;dum;100;139;2;15;
bfs;dum;100;140;2;8;
bfs;dum;100;141;2;19;
bfs;dum;100;142;2;13;
bfs;dum;100;143;2;30;
bfs;dum;100;144;2;29;
bfs;dum;100;145;2;57;
bfs;dum;100;146;2;17;
bfs;dum;100;147;2;21;
bfs;dum;100;148;2;2;
bfs;dum;100;149;2;13;
bfs;dum;100;150;2;23;
bfs;dum;100;151;2;27;
bfs;dum;100;152;2;19;
bfs;dum;100;153;2;16;
bfs;dum;100;154;2;12;
bfs;dum;100;155;2;38;
bfs;dum;100;156;2;8;
bfs;dum;100;157;2;30;
bfs;dum;100;158;2;41;
bfs;dum;100;159;2;33;
bfs;dum;100;160;2;36;
bfs;dum;100;161;2;27;
bfs;dum;100;162;2;21;
bfs;dum;100;163;2;34;
bfs;dum;100;164;2;9;
bfs;dum;100;165;2;26;
bfs;dum;100;166;2;13;
bfs;dum;100;167;2;59;
bfs;dum;100;168;2;43;
bfs;dum;100;169;2;13;
bfs;dum;100;170;2;49;
bfs;dum;100;171;2;48;
bfs;dum;100;172;2;10;
bfs;dum;100;173;2;24;
bfs;dum;100;174;2;14;
bfs;dum;100;175;2;46;
bfs;dum;100;176;2;33;
bfs;dum;100;177;2;30;
bfs;dum;100;178;2;19;
bfs;dum;100;179;2;42;
bfs;dum;100;180;2;21;
bfs;dum;100;181;2;12;
bfs;dum;100;182;2;12;
bfs;dum;100;183;2;45;
bfs;dum;100;184;2;70;
bfs;dum;100;185;2;68;
bfs;dum;100;186;2;39;
bfs;dum;100;187;2;47;
bfs;dum;100;188;2;39;
bfs;dum;100;189;2;83;
bfs;dum;100;190;2;99;
bfs;dum;100;191;2;84;
bfs;dum;100;192;2;82;
bfs;dum;100;193;2;44;
bfs;dum;100;194;2;109;
bfs;dum;100;195;2;86;
bfs;dum;100;196;2;98;
bfs;dum;100;197;2;4;
bfs;dum;100;198;2;94;
bfs;dum;100;199;2;96;
bfs;dum;100;200;2;66;
bfs;dum;100;201;2;87;
bfs;dum;100;202;2;9;
bfs;dum;100;203;2;59;
bfs;dum;100;204;2;88;
bfs;dum;100;205;2;21;
bfs;dum;100;206;2;108;
bfs;dum;100;207;2;129;
bfs;dum;100;208;2;147;
bfs;dum;100;209;2;102;
bfs;dum;100;210;2;22;
bfs;dum;100;211;2;128;
bfs;dum;100;212;2;130;
bfs;dum;100;213;2;70;
bfs;dum;100;214;2;77;
bfs;dum;100;215;2;25;
bfs;dum;100;216;2;180;
bfs;dum;100;217;2;112;
bfs;dum;100;218;2;150;
bfs;dum;100;219;2;61;
bfs;dum;100;220;2;44;
bfs;dum;100;221;2;221;
bfs;dum;100;222;2;38;
bfs;dum;100;223;2;85;
bfs;dum;100;224;2;118;
bfs;dum;100;225;2;36;
bfs;dum;100;226;2;75;
bfs;dum;100;227;2;89;
bfs;dum;100;228;2;199;
bfs;dum;100;229;2;206;
bfs;dum;100;230;2;57;
bfs;dum;100;231;2;149;
bfs;dum;100;232;2;220;
bfs;dum;100;233;2;215;
bfs;dum;100;234;2;202;
bfs;dum;100;235;2;132;
bfs;dum;100;236;2;246;
bfs;dum;100;237;2;85;
bfs;dum;100;238;2;123;
bfs;dum;100;239;2;155;
bfs;dum;100;240;2;143;
bfs;dum;100;241;2;214;
bfs;dum;100;242;2;69;
bfs;dum;100;243;2;278;
bfs;dum;100;244;2;248;
bfs;dum;100;245;2;187;
bfs;dum;100;246;2;233;
bfs;dum;100;247;2;199;
bfs;dum;100;248;2;194;
bfs;dum;100;249;2;203;
