Algo;Problème;Seed;N;K;Temps;
bfs;dum;100;100;2;191;
bfs;dum;100;100;3;143;
bfs;dum;100;100;4;208;
bfs;dum;100;100;5;175;
bfs;dum;100;100;6;206;
bfs;dum;100;100;7;191;
bfs;dum;100;100;8;208;
bfs;dum;100;100;9;191;
bfs;dum;100;100;10;240;
bfs;dum;100;100;11;207;
bfs;dum;100;100;12;238;
bfs;dum;100;100;13;223;
bfs;dum;100;100;14;255;
bfs;dum;100;100;15;255;
bfs;dum;100;100;16;271;
bfs;dum;100;100;17;254;
bfs;dum;100;100;18;287;
bfs;dum;100;100;19;367;
bfs;dum;100;100;20;367;
bfs;dum;100;100;21;382;
bfs;dum;100;100;22;239;
bfs;dum;100;100;23;223;
bfs;dum;100;100;24;270;
bfs;dum;100;100;25;302;
bfs;dum;100;100;26;319;
bfs;dum;100;100;27;301;
bfs;dum;100;100;28;320;
bfs;dum;100;100;29;319;
bfs;dum;100;100;30;286;
bfs;dum;100;100;31;336;
bfs;dum;100;100;32;350;
bfs;dum;100;100;33;351;
bfs;dum;100;100;34;382;
bfs;dum;100;100;35;398;
bfs;dum;100;100;36;438;
bfs;dum;100;100;37;471;
bfs;dum;100;100;38;414;
bfs;dum;100;100;39;462;
bfs;dum;100;100;40;446;
bfs;dum;100;100;41;509;
bfs;dum;100;100;42;526;
bfs;dum;100;100;43;573;
bfs;dum;100;100;44;573;
bfs;dum;100;100;45;590;
bfs;dum;100;100;46;477;
bfs;dum;100;100;47;558;
bfs;dum;100;100;48;556;
bfs;dum;100;100;49;795;
bfs;dum;100;100;50;861;
bfs;dum;100;100;51;923;
bfs;dum;100;100;52;796;
bfs;dum;100;100;53;764;
bfs;dum;100;100;54;811;
bfs;dum;100;100;55;890;
bfs;dum;100;100;56;1353;
bfs;dum;100;100;57;986;
bfs;dum;100;100;58;1021;
bfs;dum;100;100;59;1053;
bfs;dum;100;100;60;1016;
bfs;dum;100;100;61;1064;
bfs;dum;100;100;62;1147;
bfs;dum;100;100;63;1193;
bfs;dum;100;100;64;1132;
bfs;dum;100;100;65;1160;
bfs;dum;100;100;66;1226;
bfs;dum;100;100;67;1274;
bfs;dum;100;100;68;1415;
bfs;dum;100;100;69;1244;
bfs;dum;100;100;70;1291;
bfs;dum;100;100;71;1374;
bfs;dum;100;100;72;1432;
bfs;dum;100;100;73;1446;
bfs;dum;100;100;74;1431;
bfs;dum;100;100;75;1529;
bfs;dum;100;100;76;1576;
bfs;dum;100;100;77;1544;
bfs;dum;100;100;78;1542;
bfs;dum;100;100;79;1607;
bfs;dum;100;100;80;2020;
bfs;dum;100;100;81;2037;
bfs;dum;100;100;82;2099;
bfs;dum;100;100;83;2147;
bfs;dum;100;100;84;2114;
bfs;dum;100;100;85;2195;
bfs;dum;100;100;86;2194;
bfs;dum;100;100;87;2257;
bfs;dum;100;100;88;2289;
bfs;dum;100;100;89;2371;
bfs;dum;100;100;90;2384;
bfs;dum;100;100;91;2419;
bfs;dum;100;100;92;2512;
bfs;dum;100;100;93;2544;
bfs;dum;100;100;94;2595;
bfs;dum;100;100;95;2645;
bfs;dum;100;100;96;2688;
bfs;dum;100;100;97;2745;
bfs;dum;100;100;98;2788;
bfs;dum;100;100;99;2848;
