Algo;Problème;Seed;N;K;Temps;
bfs;dum;100;100;2;0;
bfs;dum;100;101;2;7;
bfs;dum;100;102;2;0;
bfs;dum;100;103;2;0;
bfs;dum;100;104;2;0;
bfs;dum;100;105;2;21;
bfs;dum;100;106;2;0;
bfs;dum;100;107;2;0;
bfs;dum;100;108;2;10;
bfs;dum;100;109;2;12;
bfs;dum;100;110;2;5;
bfs;dum;100;111;2;0;
bfs;dum;100;112;2;0;
bfs;dum;100;113;2;11;
bfs;dum;100;114;2;6;
bfs;dum;100;115;2;0;
bfs;dum;100;116;2;10;
bfs;dum;100;117;2;0;
bfs;dum;100;118;2;16;
bfs;dum;100;119;2;0;
bfs;dum;100;120;2;16;
bfs;dum;100;121;2;8;
bfs;dum;100;122;2;0;
bfs;dum;100;123;2;0;
bfs;dum;100;124;2;16;
bfs;dum;100;125;2;7;
bfs;dum;100;126;2;9;
bfs;dum;100;127;2;19;
bfs;dum;100;128;2;15;
bfs;dum;100;129;2;16;
bfs;dum;100;130;2;16;
bfs;dum;100;131;2;0;
bfs;dum;100;132;2;31;
bfs;dum;100;133;2;0;
bfs;dum;100;134;2;7;
bfs;dum;100;135;2;9;
bfs;dum;100;136;2;31;
bfs;dum;100;137;2;27;
bfs;dum;100;138;2;22;
bfs;dum;100;139;2;0;
bfs;dum;100;140;2;16;
bfs;dum;100;141;2;16;
bfs;dum;100;142;2;16;
bfs;dum;100;143;2;31;
bfs;dum;100;144;2;19;
bfs;dum;100;145;2;40;
bfs;dum;100;146;2;5;
bfs;dum;100;147;2;28;
bfs;dum;100;148;2;8;
bfs;dum;100;149;2;7;
bfs;dum;100;150;2;23;
bfs;dum;100;151;2;18;
bfs;dum;100;152;2;16;
bfs;dum;100;153;2;16;
bfs;dum;100;154;2;15;
bfs;dum;100;155;2;43;
bfs;dum;100;156;2;0;
bfs;dum;100;157;2;32;
bfs;dum;100;158;2;63;
bfs;dum;100;159;2;32;
bfs;dum;100;160;2;32;
bfs;dum;100;161;2;16;
bfs;dum;100;162;2;31;
bfs;dum;100;163;2;32;
bfs;dum;100;164;2;0;
bfs;dum;100;165;2;32;
bfs;dum;100;166;2;16;
bfs;dum;100;167;2;32;
bfs;dum;100;168;2;48;
bfs;dum;100;169;2;15;
bfs;dum;100;170;2;48;
bfs;dum;100;171;2;48;
bfs;dum;100;172;2;16;
bfs;dum;100;173;2;32;
bfs;dum;100;174;2;16;
bfs;dum;100;175;2;31;
bfs;dum;100;176;2;32;
bfs;dum;100;177;2;32;
bfs;dum;100;178;2;16;
bfs;dum;100;179;2;47;
bfs;dum;100;180;2;16;
bfs;dum;100;181;2;16;
bfs;dum;100;182;2;0;
bfs;dum;100;183;2;48;
bfs;dum;100;184;2;64;
bfs;dum;100;185;2;64;
bfs;dum;100;186;2;34;
bfs;dum;100;187;2;29;
bfs;dum;100;188;2;32;
bfs;dum;100;189;2;80;
bfs;dum;100;190;2;63;
bfs;dum;100;191;2;64;
bfs;dum;100;192;2;64;
bfs;dum;100;193;2;47;
bfs;dum;100;194;2;79;
bfs;dum;100;195;2;79;
bfs;dum;100;196;2;80;
bfs;dum;100;197;2;0;
bfs;dum;100;198;2;95;
bfs;dum;100;199;2;96;
bfs;dum;100;200;2;48;
bfs;dum;100;201;2;79;
bfs;dum;100;202;2;0;
bfs;dum;100;203;2;64;
bfs;dum;100;204;2;79;
bfs;dum;100;205;2;16;
bfs;dum;100;206;2;79;
bfs;dum;100;207;2;128;
bfs;dum;100;208;2;111;
bfs;dum;100;209;2;112;
bfs;dum;100;210;2;16;
bfs;dum;100;211;2;111;
bfs;dum;100;212;2;113;
bfs;dum;100;213;2;79;
bfs;dum;100;214;2;64;
bfs;dum;100;215;2;32;
bfs;dum;100;216;2;143;
bfs;dum;100;217;2;111;
bfs;dum;100;218;2;144;
bfs;dum;100;219;2;64;
bfs;dum;100;220;2;47;
bfs;dum;100;221;2;192;
bfs;dum;100;222;2;32;
bfs;dum;100;223;2;96;
bfs;dum;100;224;2;95;
bfs;dum;100;225;2;32;
bfs;dum;100;226;2;80;
bfs;dum;100;227;2;64;
bfs;dum;100;228;2;190;
bfs;dum;100;229;2;174;
bfs;dum;100;230;2;64;
bfs;dum;100;231;2;158;
bfs;dum;100;232;2;176;
bfs;dum;100;233;2;174;
bfs;dum;100;234;2;208;
bfs;dum;100;235;2;111;
bfs;dum;100;236;2;207;
bfs;dum;100;237;2;80;
bfs;dum;100;238;2;111;
bfs;dum;100;239;2;128;
bfs;dum;100;240;2;95;
bfs;dum;100;241;2;208;
bfs;dum;100;242;2;79;
bfs;dum;100;243;2;255;
bfs;dum;100;244;2;222;
bfs;dum;100;245;2;192;
bfs;dum;100;246;2;190;
bfs;dum;100;247;2;206;
bfs;dum;100;248;2;191;
bfs;dum;100;249;2;206;
bfs;dum;100;250;2;32;
bfs;dum;100;251;2;208;
bfs;dum;100;252;2;207;
bfs;dum;100;253;2;64;
bfs;dum;100;254;2;223;
bfs;dum;100;255;2;127;
bfs;dum;100;256;2;254;
bfs;dum;100;257;2;176;
bfs;dum;100;258;2;271;
bfs;dum;100;259;2;174;
bfs;dum;100;260;2;271;
bfs;dum;100;261;2;143;
bfs;dum;100;262;2;272;
bfs;dum;100;263;2;142;
bfs;dum;100;264;2;238;
bfs;dum;100;265;2;159;
bfs;dum;100;266;2;191;
bfs;dum;100;267;2;206;
bfs;dum;100;268;2;286;
bfs;dum;100;269;2;48;
bfs;dum;100;270;2;174;
bfs;dum;100;271;2;16;
bfs;dum;100;272;2;144;
bfs;dum;100;273;2;302;
bfs;dum;100;274;2;334;
bfs;dum;100;275;2;95;
bfs;dum;100;276;2;351;
bfs;dum;100;277;2;302;
bfs;dum;100;278;2;334;
bfs;dum;100;279;2;334;
bfs;dum;100;280;2;16;
bfs;dum;100;281;2;255;
bfs;dum;100;282;2;382;
bfs;dum;100;283;2;255;
bfs;dum;100;284;2;334;
bfs;dum;100;285;2;398;
bfs;dum;100;286;2;303;
