Algo;Problème;Seed;N;K;Temps;
dfs;dum;100;100;2;177;
dfs;dum;100;100;3;193;
dfs;dum;100;100;4;165;
dfs;dum;100;100;5;184;
dfs;dum;100;100;6;170;
dfs;dum;100;100;7;201;
dfs;dum;100;100;8;182;
dfs;dum;100;100;9;189;
dfs;dum;100;100;10;172;
dfs;dum;100;100;11;190;
dfs;dum;100;100;12;173;
dfs;dum;100;100;13;212;
dfs;dum;100;100;14;179;
dfs;dum;100;100;15;203;
dfs;dum;100;100;16;183;
dfs;dum;100;100;17;180;
dfs;dum;100;100;18;124;
dfs;dum;100;100;19;153;
dfs;dum;100;100;20;135;
dfs;dum;100;100;21;144;
dfs;dum;100;100;22;139;
dfs;dum;100;100;23;155;
dfs;dum;100;100;24;141;
dfs;dum;100;100;25;176;
dfs;dum;100;100;26;154;
dfs;dum;100;100;27;177;
dfs;dum;100;100;28;168;
dfs;dum;100;100;29;184;
dfs;dum;100;100;30;159;
dfs;dum;100;100;31;202;
dfs;dum;100;100;32;197;
dfs;dum;100;100;33;199;
dfs;dum;100;100;34;179;
dfs;dum;100;100;35;212;
dfs;dum;100;100;36;195;
dfs;dum;100;100;37;222;
dfs;dum;100;100;38;195;
dfs;dum;100;100;39;233;
dfs;dum;100;100;40;185;
dfs;dum;100;100;41;222;
dfs;dum;100;100;42;206;
dfs;dum;100;100;43;222;
dfs;dum;100;100;44;210;
dfs;dum;100;100;45;233;
dfs;dum;100;100;46;250;
dfs;dum;100;100;47;228;
dfs;dum;100;100;48;251;
dfs;dum;100;100;49;240;
