Algo;Problème;Seed;N;K;Temps;
dfs;dum;100;100;2;64;
dfs;dum;100;101;2;421;
dfs;dum;100;102;2;182;
dfs;dum;100;103;2;320;
dfs;dum;100;104;2;362;
dfs;dum;100;105;2;371;
dfs;dum;100;106;2;237;
dfs;dum;100;107;2;1421;
dfs;dum;100;108;2;267;
dfs;dum;100;109;2;367;
dfs;dum;100;110;2;367;
dfs;dum;100;111;2;359;
dfs;dum;100;112;2;240;
dfs;dum;100;113;2;304;
dfs;dum;100;114;2;187;
dfs;dum;100;115;2;532;
dfs;dum;100;116;2;512;
dfs;dum;100;117;2;461;
dfs;dum;100;118;2;382;
dfs;dum;100;119;2;329;
dfs;dum;100;120;2;460;
dfs;dum;100;121;2;439;
dfs;dum;100;122;2;187;
dfs;dum;100;123;2;327;
dfs;dum;100;124;2;424;
dfs;dum;100;125;2;523;
dfs;dum;100;126;2;308;
dfs;dum;100;127;2;199;
dfs;dum;100;128;2;1572;
dfs;dum;100;129;2;316;
dfs;dum;100;130;2;246;
dfs;dum;100;131;2;414;
dfs;dum;100;132;2;204;
dfs;dum;100;133;2;527;
dfs;dum;100;134;2;533;
dfs;dum;100;135;2;468;
dfs;dum;100;136;2;454;
dfs;dum;100;137;2;351;
dfs;dum;100;138;2;532;
dfs;dum;100;139;2;588;
dfs;dum;100;140;2;591;
dfs;dum;100;141;2;386;
dfs;dum;100;142;2;1820;
dfs;dum;100;143;2;453;
dfs;dum;100;144;2;124;
dfs;dum;100;145;2;599;
dfs;dum;100;146;2;501;
dfs;dum;100;147;2;509;
dfs;dum;100;148;2;640;
dfs;dum;100;149;2;599;
dfs;dum;100;150;2;678;
dfs;dum;100;151;2;677;
dfs;dum;100;152;2;1624;
dfs;dum;100;153;2;810;
dfs;dum;100;154;2;523;
dfs;dum;100;155;2;46;
dfs;dum;100;156;2;659;
dfs;dum;100;157;2;346;
dfs;dum;100;158;2;165;
dfs;dum;100;159;2;596;
dfs;dum;100;160;2;540;
dfs;dum;100;161;2;487;
dfs;dum;100;162;2;510;
dfs;dum;100;163;2;543;
dfs;dum;100;164;2;227;
dfs;dum;100;165;2;571;
dfs;dum;100;166;2;868;
dfs;dum;100;167;2;190;
dfs;dum;100;168;2;622;
dfs;dum;100;169;2;74;
dfs;dum;100;170;2;871;
dfs;dum;100;171;2;606;
dfs;dum;100;172;2;519;
dfs;dum;100;173;2;1935;
dfs;dum;100;174;2;1564;
dfs;dum;100;175;2;953;
dfs;dum;100;176;2;888;
dfs;dum;100;177;2;745;
dfs;dum;100;178;2;714;
dfs;dum;100;179;2;832;
dfs;dum;100;180;2;1256;
dfs;dum;100;181;2;388;
dfs;dum;100;182;2;961;
dfs;dum;100;183;2;1024;
dfs;dum;100;184;2;860;
dfs;dum;100;185;2;1178;
dfs;dum;100;186;2;2789;
dfs;dum;100;187;2;2316;
dfs;dum;100;188;2;1634;
dfs;dum;100;189;2;1498;
dfs;dum;100;190;2;902;
dfs;dum;100;191;2;1866;
dfs;dum;100;192;2;995;
dfs;dum;100;193;2;671;
dfs;dum;100;194;2;1145;
dfs;dum;100;195;2;1558;
dfs;dum;100;196;2;1583;
dfs;dum;100;197;2;2998;
dfs;dum;100;198;2;1473;
dfs;dum;100;199;2;310;
dfs;dum;100;200;2;208;
dfs;dum;100;201;2;1384;
dfs;dum;100;202;2;1114;
dfs;dum;100;203;2;1353;
dfs;dum;100;204;2;1767;
dfs;dum;100;205;2;1035;
dfs;dum;100;206;2;1716;
dfs;dum;100;207;2;1220;
dfs;dum;100;208;2;1139;
dfs;dum;100;209;2;724;
dfs;dum;100;210;2;1558;
dfs;dum;100;211;2;1499;
dfs;dum;100;212;2;1242;
dfs;dum;100;213;2;1362;
dfs;dum;100;214;2;1896;
dfs;dum;100;215;2;1334;
dfs;dum;100;216;2;3569;
dfs;dum;100;217;2;361;
dfs;dum;100;218;2;1446;
dfs;dum;100;219;2;1477;
dfs;dum;100;220;2;1445;
dfs;dum;100;221;2;5566;
dfs;dum;100;222;2;4502;
dfs;dum;100;223;2;1546;
dfs;dum;100;224;2;1200;
dfs;dum;100;225;2;1455;
dfs;dum;100;226;2;975;
dfs;dum;100;227;2;1782;
dfs;dum;100;228;2;886;
dfs;dum;100;229;2;1973;
dfs;dum;100;230;2;2624;
dfs;dum;100;231;2;660;
dfs;dum;100;232;2;2668;
dfs;dum;100;233;2;2218;
dfs;dum;100;234;2;2244;
dfs;dum;100;235;2;323;
dfs;dum;100;236;2;1779;
dfs;dum;100;237;2;4559;
dfs;dum;100;238;2;1972;
dfs;dum;100;239;2;114;
dfs;dum;100;240;2;2596;
dfs;dum;100;241;2;1080;
dfs;dum;100;242;2;2408;
dfs;dum;100;243;2;1802;
dfs;dum;100;244;2;1837;
dfs;dum;100;245;2;2587;
dfs;dum;100;246;2;2397;
dfs;dum;100;247;2;2287;
dfs;dum;100;248;2;881;
dfs;dum;100;249;2;2156;
