Algo;Problème;Seed;N;K;Temps;
dfs;dum;100;100;2;1472;
dfs;dum;100;100;3;1472;
dfs;dum;100;100;4;1364;
dfs;dum;100;100;5;1460;
dfs;dum;100;100;6;1648;
dfs;dum;100;100;7;1883;
dfs;dum;100;100;8;1640;
dfs;dum;100;100;9;1437;
dfs;dum;100;100;10;1494;
dfs;dum;100;100;11;1510;
dfs;dum;100;100;12;1416;
dfs;dum;100;100;13;1441;
dfs;dum;100;100;14;1488;
dfs;dum;100;100;15;1539;
dfs;dum;100;100;16;1457;
dfs;dum;100;100;17;1443;
dfs;dum;100;100;18;1473;
dfs;dum;100;100;19;1377;
dfs;dum;100;100;20;1428;
dfs;dum;100;100;21;1388;
dfs;dum;100;100;22;1449;
dfs;dum;100;100;23;1460;
dfs;dum;100;100;24;1523;
dfs;dum;100;100;25;1429;
dfs;dum;100;100;26;1477;
dfs;dum;100;100;27;1519;
dfs;dum;100;100;28;1555;
dfs;dum;100;100;29;1606;
dfs;dum;100;100;30;1647;
dfs;dum;100;100;31;1668;
dfs;dum;100;100;32;1702;
dfs;dum;100;100;33;1672;
dfs;dum;100;100;34;1543;
dfs;dum;100;100;35;1541;
dfs;dum;100;100;36;1572;
dfs;dum;100;100;37;1621;
dfs;dum;100;100;38;1619;
dfs;dum;100;100;39;1531;
dfs;dum;100;100;40;1521;
dfs;dum;100;100;41;1692;
dfs;dum;100;100;42;1636;
dfs;dum;100;100;43;1546;
dfs;dum;100;100;44;1580;
dfs;dum;100;100;45;1542;
dfs;dum;100;100;46;1598;
dfs;dum;100;100;47;1656;
dfs;dum;100;100;48;1609;
dfs;dum;100;100;49;1629;
dfs;dum;100;100;50;1670;
dfs;dum;100;100;51;1704;
dfs;dum;100;100;52;1607;
dfs;dum;100;100;53;1899;
dfs;dum;100;100;54;2089;
dfs;dum;100;100;55;1944;
dfs;dum;100;100;56;2331;
dfs;dum;100;100;57;2183;
dfs;dum;100;100;58;2059;
dfs;dum;100;100;59;2146;
dfs;dum;100;100;60;2598;
dfs;dum;100;100;61;2369;
dfs;dum;100;100;62;2004;
dfs;dum;100;100;63;2084;
dfs;dum;100;100;64;2027;
dfs;dum;100;100;65;2153;
dfs;dum;100;100;66;2129;
dfs;dum;100;100;67;2111;
dfs;dum;100;100;68;2132;
dfs;dum;100;100;69;2126;
dfs;dum;100;100;70;2307;
dfs;dum;100;100;71;2316;
dfs;dum;100;100;72;2159;
dfs;dum;100;100;73;2185;
dfs;dum;100;100;74;2163;
dfs;dum;100;100;75;2277;
dfs;dum;100;100;76;2287;
dfs;dum;100;100;77;2376;
dfs;dum;100;100;78;2346;
dfs;dum;100;100;79;2280;
dfs;dum;100;100;80;2307;
dfs;dum;100;100;81;2342;
dfs;dum;100;100;82;2356;
dfs;dum;100;100;83;2391;
dfs;dum;100;100;84;2371;
dfs;dum;100;100;85;2435;
dfs;dum;100;100;86;2408;
dfs;dum;100;100;87;2420;
dfs;dum;100;100;88;2377;
dfs;dum;100;100;89;2437;
dfs;dum;100;100;90;2451;
dfs;dum;100;100;91;2456;
dfs;dum;100;100;92;2768;
dfs;dum;100;100;93;2891;
dfs;dum;100;100;94;2520;
dfs;dum;100;100;95;2536;
dfs;dum;100;100;96;2555;
dfs;dum;100;100;97;2568;
dfs;dum;100;100;98;2625;
dfs;dum;100;100;99;3564;
