Algo;Problème;Seed;N;K;Temps;
dfs;dum;100;100;2;1112;
dfs;dum;100;101;2;2418;
dfs;dum;100;102;2;1146;
dfs;dum;100;103;2;1686;
dfs;dum;100;104;2;2118;
dfs;dum;100;105;2;15372;
dfs;dum;100;106;2;1275;
dfs;dum;100;107;2;8590;
dfs;dum;100;108;2;1577;
dfs;dum;100;109;2;1985;
dfs;dum;100;110;2;2117;
dfs;dum;100;111;2;2070;
dfs;dum;100;112;2;1289;
dfs;dum;100;113;2;1591;
dfs;dum;100;114;2;1225;
dfs;dum;100;115;2;2874;
dfs;dum;100;116;2;2928;
dfs;dum;100;117;2;2578;
dfs;dum;100;118;2;2226;
dfs;dum;100;119;2;1863;
dfs;dum;100;120;2;2548;
dfs;dum;100;121;2;2467;
dfs;dum;100;122;2;1115;
dfs;dum;100;123;2;1638;
dfs;dum;100;124;2;2371;
dfs;dum;100;125;2;2981;
dfs;dum;100;126;2;1775;
dfs;dum;100;127;2;1289;
dfs;dum;100;128;2;8940;
dfs;dum;100;129;2;1733;
dfs;dum;100;130;2;1383;
dfs;dum;100;131;2;2068;
dfs;dum;100;132;2;1241;
dfs;dum;100;133;2;2723;
dfs;dum;100;134;2;2882;
dfs;dum;100;135;2;2520;
dfs;dum;100;136;2;2418;
dfs;dum;100;137;2;1768;
dfs;dum;100;138;2;3003;
dfs;dum;100;139;2;3327;
dfs;dum;100;140;2;3210;
dfs;dum;100;141;2;2080;
dfs;dum;100;142;2;10227;
dfs;dum;100;143;2;2447;
dfs;dum;100;144;2;623;
dfs;dum;100;145;2;3055;
dfs;dum;100;146;2;2497;
dfs;dum;100;147;2;2590;
dfs;dum;100;148;2;3200;
dfs;dum;100;149;2;3040;
dfs;dum;100;150;2;3485;
dfs;dum;100;151;2;3470;
dfs;dum;100;152;2;8368;
dfs;dum;100;153;2;4032;
dfs;dum;100;154;2;2356;
dfs;dum;100;155;2;255;
dfs;dum;100;156;2;3552;
dfs;dum;100;157;2;1576;
dfs;dum;100;158;2;907;
dfs;dum;100;159;2;2961;
dfs;dum;100;160;2;2586;
dfs;dum;100;161;2;2244;
dfs;dum;100;162;2;2404;
dfs;dum;100;163;2;2486;
dfs;dum;100;164;2;1020;
dfs;dum;100;165;2;2628;
dfs;dum;100;166;2;4077;
dfs;dum;100;167;2;996;
dfs;dum;100;168;2;2820;
dfs;dum;100;169;2;382;
dfs;dum;100;170;2;4033;
dfs;dum;100;171;2;2763;
dfs;dum;100;172;2;2339;
dfs;dum;100;173;2;9189;
dfs;dum;100;174;2;6226;
dfs;dum;100;175;2;3373;
dfs;dum;100;176;2;3822;
dfs;dum;100;177;2;3368;
dfs;dum;100;178;2;3042;
dfs;dum;100;179;2;3263;
dfs;dum;100;180;2;4833;
dfs;dum;100;181;2;1670;
dfs;dum;100;182;2;2976;
dfs;dum;100;183;2;3133;
dfs;dum;100;184;2;2577;
dfs;dum;100;185;2;3596;
dfs;dum;100;186;2;8624;
dfs;dum;100;187;2;6711;
dfs;dum;100;188;2;3947;
dfs;dum;100;189;2;4185;
dfs;dum;100;190;2;1846;
dfs;dum;100;191;2;4262;
dfs;dum;100;192;2;2931;
dfs;dum;100;193;2;1925;
dfs;dum;100;194;2;3561;
dfs;dum;100;195;2;4977;
dfs;dum;100;196;2;4946;
dfs;dum;100;197;2;9394;
dfs;dum;100;198;2;4671;
dfs;dum;100;199;2;898;
dfs;dum;100;200;2;622;
dfs;dum;100;201;2;4138;
dfs;dum;100;202;2;3357;
dfs;dum;100;203;2;4157;
dfs;dum;100;204;2;5377;
dfs;dum;100;205;2;3217;
dfs;dum;100;206;2;5306;
