Algo;Problème;Seed;N;K;Cout - BFS;Cout - DFS;Cout - UCS;Cout - GFS;Cout - Astar;;Temps - BFS;Temps - DFS;Temps - UCS;Temps - GFS;Temps - Astar
bfs;dum;100;1000;2;4496,009149;4198,655957;1172,894527;23311,45199;1172,894527;;3788;11488;36944;2790;13524
bfs;dum;100;1000;4;4111,032013;4198,655957;1172,894527;9198,219933;1172,894527;;4320;11437;35228;3225;11943
bfs;dum;100;1000;6;2931,910856;4198,655957;1172,894527;5808,510669;1172,894527;;4839;11795;36661;3588;12187
bfs;dum;100;1000;8;2922,887614;4198,655957;1172,894527;2923,767145;1172,894527;;5354;12241;36413;4116;12872
bfs;dum;100;1000;10;2922,887614;4198,655957;1172,894527;2056,474844;1172,894527;;6093;12667;36594;3490;13529
bfs;dum;100;1000;12;2922,887614;4198,655957;1172,894527;2089,4362;1172,894527;;4948;12814;35112;4213;13935
bfs;dum;100;1000;14;2026,597233;4198,655957;1172,894527;1910,14035;1172,894527;;5811;13362;35320;5117;13692
bfs;dum;100;1000;16;1696,098313;4198,655957;1172,894527;1438,395351;1172,894527;;5531;16905;35928;6275;17936
bfs;dum;100;1000;18;1696,098313;4198,655957;1172,894527;1438,395351;1172,894527;;7321;17785;42579;6835;18699
bfs;dum;100;1000;20;1696,098313;4198,655957;1172,894527;1575,069386;1172,894527;;8892;19209;44272;8145;20625
;;;;;;;;;;;;;;;
Algo;Problème;Seed;N;K;;;;;;;;;;;
dfs;dum;100;1000;2;;;;;;;;;;;
dfs;dum;100;1000;4;;;;;;;;;;;
dfs;dum;100;1000;6;;;;;;;;;;;
dfs;dum;100;1000;8;;;;;;;;;;;
dfs;dum;100;1000;10;;;;;;;;;;;
dfs;dum;100;1000;12;;;;;;;;;;;
dfs;dum;100;1000;14;;;;;;;;;;;
dfs;dum;100;1000;16;;;;;;;;;;;
dfs;dum;100;1000;18;;;;;;;;;;;
dfs;dum;100;1000;20;;;;;;;;;;;
;;;;;;;;;;;;;;;
Algo;Problème;Seed;N;K;;;;;;;;;;;
ucs;dum;100;1000;2;;;;;;;;;;;
ucs;dum;100;1000;4;;;;;;;;;;;
ucs;dum;100;1000;6;;;;;;;;;;;
ucs;dum;100;1000;8;;;;;;;;;;;
ucs;dum;100;1000;10;;;;;;;;;;;
ucs;dum;100;1000;12;;;;;;;;;;;
ucs;dum;100;1000;14;;;;;;;;;;;
ucs;dum;100;1000;16;;;;;;;;;;;
ucs;dum;100;1000;18;;;;;;;;;;;
ucs;dum;100;1000;20;;;;;;;;;;;
;;;;;;;;;;;;;;;
Algo;Problème;Seed;N;K;;;;;;;;;;;
gfs;dum;100;1000;2;;;;;;;;;;;
gfs;dum;100;1000;4;;;;;;;;;;;
gfs;dum;100;1000;6;;;;;;;;;;;
gfs;dum;100;1000;8;;;;;;;;;;;
gfs;dum;100;1000;10;;;;;;;;;;;
gfs;dum;100;1000;12;;;;;;;;;;;
gfs;dum;100;1000;14;;;;;;;;;;;
gfs;dum;100;1000;16;;;;;;;;;;;
gfs;dum;100;1000;18;;;;;;;;;;;
gfs;dum;100;1000;20;;;;;;;;;;;
;;;;;;;;;;;;;;;
Algo;Problème;Seed;N;K;;;;;;;;;;;
astar;dum;100;1000;2;;;;;;;;;;;
astar;dum;100;1000;4;;;;;;;;;;;
astar;dum;100;1000;6;;;;;;;;;;;
astar;dum;100;1000;8;;;;;;;;;;;
astar;dum;100;1000;10;;;;;;;;;;;
astar;dum;100;1000;12;;;;;;;;;;;
astar;dum;100;1000;14;;;;;;;;;;;
astar;dum;100;1000;16;;;;;;;;;;;
astar;dum;100;1000;18;;;;;;;;;;;
astar;dum;100;1000;20;;;;;;;;;;;
