Jeu;P1;noeuds P1;P2;noeuds P2;Vainqueur;Profondeur;Temps (ms);
mnk;Random;0;MinMaxAlphaBeta;1315;MinMaxAlphaBeta;1;4;
mnk;Random;0;MinMaxAlphaBeta;1285;MinMaxAlphaBeta;2;5;
mnk;Random;0;MinMaxAlphaBeta;1360;MinMaxAlphaBeta;3;6;
mnk;Random;0;MinMaxAlphaBeta;1556;MinMaxAlphaBeta;4;6;
mnk;Random;0;MinMaxAlphaBeta;1599;MinMaxAlphaBeta;5;5;
mnk;Random;0;MinMaxAlphaBeta;1847;égalité;6;7;
mnk;Random;0;MinMaxAlphaBeta;2393;MinMaxAlphaBeta;7;9;
mnk;Random;0;MinMaxAlphaBeta;2734;égalité;8;15;
mnk;Random;0;MinMaxAlphaBeta;3004;MinMaxAlphaBeta;9;14;
mnk;Random;0;MinMaxAlphaBeta;3206;MinMaxAlphaBeta;10;16;
mnk;Random;0;MinMaxAlphaBeta;5612;MinMaxAlphaBeta;11;22;
mnk;Random;0;MinMaxAlphaBeta;5621;MinMaxAlphaBeta;12;21;
mnk;Random;0;MinMaxAlphaBeta;8926;MinMaxAlphaBeta;13;33;
mnk;Random;0;MinMaxAlphaBeta;9060;MinMaxAlphaBeta;14;35;
mnk;Random;0;MinMaxAlphaBeta;11610;MinMaxAlphaBeta;15;65;
mnk;Random;0;MinMaxAlphaBeta;12807;MinMaxAlphaBeta;16;65;
mnk;Random;0;MinMaxAlphaBeta;25800;MinMaxAlphaBeta;17;103;
mnk;Random;0;MinMaxAlphaBeta;19875;MinMaxAlphaBeta;18;86;
mnk;Random;0;MinMaxAlphaBeta;33756;MinMaxAlphaBeta;19;143;
mnk;Random;0;MinMaxAlphaBeta;49695;MinMaxAlphaBeta;20;222;
mnk;Random;0;MinMaxAlphaBeta;69835;MinMaxAlphaBeta;21;302;
mnk;Random;0;MinMaxAlphaBeta;110072;MinMaxAlphaBeta;22;547;
mnk;Random;0;MinMaxAlphaBeta;111747;égalité;23;557;
mnk;Random;0;MinMaxAlphaBeta;86368;MinMaxAlphaBeta;24;370;
mnk;Random;0;MinMaxAlphaBeta;205944;MinMaxAlphaBeta;25;916;
mnk;Random;0;MinMaxAlphaBeta;271626;égalité;26;1349;
mnk;Random;0;MinMaxAlphaBeta;292633;MinMaxAlphaBeta;27;1616;
mnk;Random;0;MinMaxAlphaBeta;323831;MinMaxAlphaBeta;28;1323;
mnk;Random;0;MinMaxAlphaBeta;352376;MinMaxAlphaBeta;29;1555;
mnk;Random;0;MinMaxAlphaBeta;417421;MinMaxAlphaBeta;30;1854;
mnk;Random;0;MinMaxAlphaBeta;540199;MinMaxAlphaBeta;31;2531;
mnk;Random;0;MinMaxAlphaBeta;639376;égalité;32;2969;
mnk;Random;0;MinMaxAlphaBeta;819438;MinMaxAlphaBeta;33;3925;
mnk;Random;0;MinMaxAlphaBeta;1264693;MinMaxAlphaBeta;34;5704;
mnk;Random;0;MinMaxAlphaBeta;1300232;MinMaxAlphaBeta;35;5815;
mnk;Random;0;MinMaxAlphaBeta;883857;MinMaxAlphaBeta;36;4069;
mnk;Random;0;MinMaxAlphaBeta;926303;MinMaxAlphaBeta;37;4283;
mnk;Random;0;MinMaxAlphaBeta;2107910;MinMaxAlphaBeta;38;10016;
mnk;Random;0;MinMaxAlphaBeta;2316788;MinMaxAlphaBeta;39;10131;
mnk;Random;0;MinMaxAlphaBeta;4239167;MinMaxAlphaBeta;40;18919;
mnk;Random;0;MinMaxAlphaBeta;3884664;égalité;41;17053;
mnk;Random;0;MinMaxAlphaBeta;5852679;MinMaxAlphaBeta;42;25243;
mnk;Random;0;MinMaxAlphaBeta;8967948;MinMaxAlphaBeta;43;40578;
mnk;Random;0;MinMaxAlphaBeta;6858642;MinMaxAlphaBeta;44;30328;
mnk;Random;0;MinMaxAlphaBeta;15167242;MinMaxAlphaBeta;45;70628;
mnk;Random;0;MinMaxAlphaBeta;12161074;MinMaxAlphaBeta;46;55843;
mnk;Random;0;MinMaxAlphaBeta;8223151;MinMaxAlphaBeta;47;36056;
mnk;Random;0;MinMaxAlphaBeta;30672756;MinMaxAlphaBeta;48;134683;
mnk;Random;0;MinMaxAlphaBeta;14676319;MinMaxAlphaBeta;49;63983;
mnk;Random;0;MinMaxAlphaBeta;20035270;MinMaxAlphaBeta;50;89316;
