Jeu;P1;noeuds P1;P2;noeuds P2;Vainqueur;Profondeur;Temps (ms);
mnk;Random;0;MinMax;1331;égalité;1;32;
mnk;Random;0;MinMax;1393;MinMax;2;13;
mnk;Random;0;MinMax;1456;égalité;3;22;
mnk;Random;0;MinMax;1514;MinMax;4;14;
mnk;Random;0;MinMax;1634;MinMax;5;19;
mnk;Random;0;MinMax;1790;MinMax;6;16;
mnk;Random;0;MinMax;2167;MinMax;7;21;
mnk;Random;0;MinMax;2449;MinMax;8;26;
mnk;Random;0;MinMax;3284;MinMax;9;24;
mnk;Random;0;MinMax;3476;MinMax;10;21;
mnk;Random;0;MinMax;4850;MinMax;11;32;
mnk;Random;0;MinMax;7258;MinMax;12;39;
mnk;Random;0;MinMax;7335;MinMax;13;54;
mnk;Random;0;MinMax;11611;MinMax;14;70;
mnk;Random;0;MinMax;18386;égalité;15;142;
mnk;Random;0;MinMax;28768;MinMax;16;167;
mnk;Random;0;MinMax;38202;MinMax;17;161;
mnk;Random;0;MinMax;31937;MinMax;18;98;
mnk;Random;0;MinMax;39891;MinMax;19;141;
mnk;Random;0;MinMax;57544;MinMax;20;184;
mnk;Random;0;MinMax;93132;MinMax;21;264;
mnk;Random;0;MinMax;121677;MinMax;22;336;
mnk;Random;0;MinMax;173858;MinMax;23;504;
mnk;Random;0;MinMax;191171;MinMax;24;535;
mnk;Random;0;MinMax;217354;MinMax;25;580;
mnk;Random;0;MinMax;364373;MinMax;26;1014;
mnk;Random;0;MinMax;365747;MinMax;27;935;
mnk;Random;0;MinMax;533005;MinMax;28;1420;
mnk;Random;0;MinMax;656293;MinMax;29;1743;
mnk;Random;0;MinMax;1154017;MinMax;30;3032;
mnk;Random;0;MinMax;657028;Random;31;1596;
mnk;Random;0;MinMax;1273670;MinMax;32;3030;
mnk;Random;0;MinMax;1355403;MinMax;33;3273;
mnk;Random;0;MinMax;3323999;MinMax;34;8950;
mnk;Random;0;MinMax;2375515;MinMax;35;6080;
mnk;Random;0;MinMax;6163114;MinMax;36;16541;
mnk;Random;0;MinMax;9416846;MinMax;37;25189;
mnk;Random;0;MinMax;9721038;MinMax;38;25123;
mnk;Random;0;MinMax;14533074;MinMax;39;38201;
mnk;Random;0;MinMax;12553152;MinMax;40;31886;
mnk;Random;0;MinMax;19157939;MinMax;41;51130;
mnk;Random;0;MinMax;9054954;Random;42;23024;
mnk;Random;0;MinMax;34270298;MinMax;43;89118;
mnk;Random;0;MinMax;25301549;MinMax;44;66196;
mnk;Random;0;MinMax;35481145;MinMax;45;81510;
mnk;Random;0;MinMax;67669043;MinMax;46;176326;
mnk;Random;0;MinMax;97241990;MinMax;47;249401;
mnk;Random;0;MinMax;79000130;MinMax;48;199257;
mnk;Random;0;MinMax;90367846;MinMax;49;230243;
mnk;Random;0;MinMax;130135164;MinMax;50;500080;
