Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Sigmoïde;AND;10;42,004458;370700;
Sigmoïde;AND;11;40,776184;155200;
Sigmoïde;AND;12;39,860829;198400;
Sigmoïde;AND;13;39,191499;150600;
Sigmoïde;AND;14;38,710316;156500;
Sigmoïde;AND;15;38,369700;113600;
Sigmoïde;AND;16;38,131578;130900;
Sigmoïde;AND;17;37,966023;139100;
Sigmoïde;AND;18;37,849860;119300;
Sigmoïde;AND;19;37,765374;116800;
Sigmoïde;AND;20;37,699153;132400;
Sigmoïde;AND;21;37,641033;136000;
Sigmoïde;AND;22;37,583164;148700;
Sigmoïde;AND;23;37,519208;140000;
Sigmoïde;AND;24;37,443676;159500;
Sigmoïde;AND;25;37,351431;153800;
Sigmoïde;AND;26;37,237343;162100;
Sigmoïde;AND;27;37,096127;173100;
Sigmoïde;AND;28;36,922359;169000;
Sigmoïde;AND;29;36,710670;188400;
Sigmoïde;AND;30;36,456122;183500;
Sigmoïde;AND;31;36,154713;199500;
Sigmoïde;AND;32;35,803937;194000;
Sigmoïde;AND;33;35,403297;199600;
Sigmoïde;AND;34;34,954659;201000;
Sigmoïde;AND;35;34,462361;213900;
Sigmoïde;AND;36;33,933053;234300;
Sigmoïde;AND;37;33,375289;312800;
Sigmoïde;AND;38;32,798939;294500;
Sigmoïde;AND;39;32,214511;260300;
Sigmoïde;AND;40;31,632466;248500;
Sigmoïde;AND;41;31,062600;254300;
Sigmoïde;AND;42;30,513566;275300;
Sigmoïde;AND;43;29,992551;252300;
Sigmoïde;AND;44;29,505138;267800;
Sigmoïde;AND;45;29,055307;267300;
Sigmoïde;AND;46;28,645565;277300;
Sigmoïde;AND;47;28,277153;289100;
Sigmoïde;AND;48;27,950316;284100;
Sigmoïde;AND;49;27,664653;297300;
Sigmoïde;AND;50;27,419560;298800;
Sigmoïde;AND;51;27,214825;335000;
Sigmoïde;AND;52;27,051367;329300;
Sigmoïde;AND;53;26,932067;329300;
Sigmoïde;AND;54;26,862529;322600;
Sigmoïde;AND;55;26,851492;323800;
Sigmoïde;AND;56;26,910580;331000;
Sigmoïde;AND;57;27,053160;339400;
Sigmoïde;AND;58;27,292195;340400;
Sigmoïde;AND;59;27,637211;374900;
Sigmoïde;AND;60;28,090675;353500;
Sigmoïde;AND;61;28,644410;358100;
Sigmoïde;AND;62;29,277111;387300;
Sigmoïde;AND;63;29,954452;393300;
Sigmoïde;AND;64;30,633142;378600;
Sigmoïde;AND;65;31,268880;399000;
Sigmoïde;AND;66;31,825837;410700;
Sigmoïde;AND;67;32,283637;402300;
Sigmoïde;AND;68;32,638841;412900;
Sigmoïde;AND;69;32,901149;413200;
Sigmoïde;AND;70;33,087195;430800;
Sigmoïde;AND;71;33,215033;428300;
Sigmoïde;AND;72;33,300750;443800;
Sigmoïde;AND;73;33,357147;444500;
Sigmoïde;AND;74;33,393701;453200;
Sigmoïde;AND;75;33,417101;472100;
Sigmoïde;AND;76;33,431919;473100;
Sigmoïde;AND;77;33,441208;477200;
Sigmoïde;AND;78;33,446971;463700;
Sigmoïde;AND;79;33,450507;472600;
Sigmoïde;AND;80;33,452647;766500;
Sigmoïde;AND;81;33,453919;562900;
Sigmoïde;AND;82;33,454655;556300;
Sigmoïde;AND;83;33,455063;633700;
Sigmoïde;AND;84;33,455271;569700;
Sigmoïde;AND;85;33,455358;627700;
Sigmoïde;AND;86;33,455372;939500;
Sigmoïde;AND;87;33,455343;843200;
Sigmoïde;AND;88;33,455288;545100;
Sigmoïde;AND;89;33,455217;555100;
Sigmoïde;AND;90;33,455137;572900;
Sigmoïde;AND;91;33,455052;551000;
Sigmoïde;AND;92;33,454963;623700;
Sigmoïde;AND;93;33,454872;580300;
