Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Sigmoïde;OR;10;51,638400;14300;
Sigmoïde;OR;11;46,509793;12600;
Sigmoïde;OR;12;42,806722;13600;
Sigmoïde;OR;13;40,246846;14600;
Sigmoïde;OR;14;38,484260;15700;
Sigmoïde;OR;15;37,252774;16900;
Sigmoïde;OR;16;36,369783;17900;
Sigmoïde;OR;17;35,712714;20300;
Sigmoïde;OR;18;35,198586;19500;
Sigmoïde;OR;19;34,770366;20700;
Sigmoïde;OR;20;34,388382;21700;
Sigmoïde;OR;21;34,024838;22600;
Sigmoïde;OR;22;33,660133;43700;
Sigmoïde;OR;23;33,280260;19500;
Sigmoïde;OR;24;32,874910;23500;
Sigmoïde;OR;25;32,436088;19800;
Sigmoïde;OR;26;31,957124;20500;
Sigmoïde;OR;27;31,432013;21200;
Sigmoïde;OR;28;30,855025;23100;
Sigmoïde;OR;29;30,220543;26700;
Sigmoïde;OR;30;29,523101;23100;
Sigmoïde;OR;31;28,757629;23800;
Sigmoïde;OR;32;27,919884;24600;
Sigmoïde;OR;33;27,007067;25300;
Sigmoïde;OR;34;26,018589;26200;
Sigmoïde;OR;35;24,956888;28200;
Sigmoïde;OR;36;23,828136;34000;
Sigmoïde;OR;37;22,642635;28400;
Sigmoïde;OR;38;21,414703;29200;
Sigmoïde;OR;39;20,161912;33600;
Sigmoïde;OR;40;18,903751;30600;
Sigmoïde;OR;41;17,659941;31500;
Sigmoïde;OR;42;16,448746;32200;
Sigmoïde;OR;43;15,285620;32900;
Sigmoïde;OR;44;14,182392;33600;
Sigmoïde;OR;45;13,147033;34500;
Sigmoïde;OR;46;12,183890;35200;
Sigmoïde;OR;47;11,294229;36100;
Sigmoïde;OR;48;10,476912;40800;
Sigmoïde;OR;49;9,729070;37600;
Sigmoïde;OR;50;9,046709;38400;
Sigmoïde;OR;51;8,425193;38900;
Sigmoïde;OR;52;7,859618;39800;
Sigmoïde;OR;53;7,345066;42200;
Sigmoïde;OR;54;6,876788;41500;
Sigmoïde;OR;55;6,450305;46700;
Sigmoïde;OR;56;6,061471;42900;
Sigmoïde;OR;57;5,706493;43500;
Sigmoïde;OR;58;5,381937;44600;
Sigmoïde;OR;59;5,084708;45100;
Sigmoïde;OR;60;4,812037;46100;
Sigmoïde;OR;61;4,561448;51600;
Sigmoïde;OR;62;4,330736;56800;
Sigmoïde;OR;63;4,117937;48300;
Sigmoïde;OR;64;3,921304;49000;
Sigmoïde;OR;65;3,739282;50100;
Sigmoïde;OR;66;3,570489;59200;
Sigmoïde;OR;67;3,413690;58300;
Sigmoïde;OR;68;3,267786;54000;
