Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Sigmoïde;XOR;10;49,999860;10000;
Sigmoïde;XOR;11;49,999854;8700;
Sigmoïde;XOR;12;49,999850;9400;
Sigmoïde;XOR;13;49,999847;10200;
Sigmoïde;XOR;14;49,999845;10900;
Sigmoïde;XOR;15;49,999844;11700;
Sigmoïde;XOR;16;49,999843;12600;
Sigmoïde;XOR;17;49,999843;13400;
Sigmoïde;XOR;18;49,999843;14100;
Sigmoïde;XOR;19;49,999843;24600;
Sigmoïde;XOR;20;49,999844;15600;
Sigmoïde;XOR;21;49,999844;16300;
Sigmoïde;XOR;22;49,999845;17200;
Sigmoïde;XOR;23;49,999845;17900;
Sigmoïde;XOR;24;49,999845;18800;
Sigmoïde;XOR;25;49,999846;20400;
Sigmoïde;XOR;26;49,999846;19800;
Sigmoïde;XOR;27;49,999847;20600;
Sigmoïde;XOR;28;49,999847;21300;
Sigmoïde;XOR;29;49,999847;22000;
Sigmoïde;XOR;30;49,999847;22800;
Sigmoïde;XOR;31;49,999848;23600;
Sigmoïde;XOR;32;49,999848;24400;
Sigmoïde;XOR;33;49,999848;28900;
Sigmoïde;XOR;34;49,999848;25900;
Sigmoïde;XOR;35;49,999848;26500;
Sigmoïde;XOR;36;49,999848;27400;
Sigmoïde;XOR;37;49,999848;28100;
Sigmoïde;XOR;38;49,999848;28900;
Sigmoïde;XOR;39;49,999847;29800;
Sigmoïde;XOR;40;49,999847;30400;
Sigmoïde;XOR;41;49,999847;31200;
Sigmoïde;XOR;42;49,999846;45500;
Sigmoïde;XOR;43;49,999846;32800;
Sigmoïde;XOR;44;49,999845;33600;
Sigmoïde;XOR;45;49,999844;34200;
Sigmoïde;XOR;46;49,999843;39800;
Sigmoïde;XOR;47;49,999842;35800;
Sigmoïde;XOR;48;49,999841;36500;
Sigmoïde;XOR;49;49,999839;37200;
Sigmoïde;XOR;50;49,999838;58600;
Sigmoïde;XOR;51;49,999836;40700;
Sigmoïde;XOR;52;49,999834;41400;
Sigmoïde;XOR;53;49,999832;42300;
Sigmoïde;XOR;54;49,999830;44100;
Sigmoïde;XOR;55;49,999827;44100;
Sigmoïde;XOR;56;49,999825;63600;
Sigmoïde;XOR;57;49,999822;54100;
Sigmoïde;XOR;58;49,999819;50000;
Sigmoïde;XOR;59;49,999816;47100;
Sigmoïde;XOR;60;49,999813;48200;
Sigmoïde;XOR;61;49,999809;47600;
Sigmoïde;XOR;62;49,999805;48200;
Sigmoïde;XOR;63;49,999801;49000;
Sigmoïde;XOR;64;49,999797;49800;
Sigmoïde;XOR;65;49,999793;50700;
Sigmoïde;XOR;66;49,999788;51400;
Sigmoïde;XOR;67;49,999783;55300;
Sigmoïde;XOR;68;49,999778;52700;
Sigmoïde;XOR;69;49,999773;53800;
Sigmoïde;XOR;70;49,999767;54500;
Sigmoïde;XOR;71;49,999761;62300;
Sigmoïde;XOR;72;49,999755;61100;
Sigmoïde;XOR;73;49,999748;58600;
Sigmoïde;XOR;74;49,999742;57600;
Sigmoïde;XOR;75;49,999735;58300;
Sigmoïde;XOR;76;49,999728;59300;
Sigmoïde;XOR;77;49,999720;64100;
Sigmoïde;XOR;78;49,999712;61000;
Sigmoïde;XOR;79;49,999704;61400;
Sigmoïde;XOR;80;49,999696;62500;
Sigmoïde;XOR;81;49,999688;63100;
Sigmoïde;XOR;82;49,999679;67800;
Sigmoïde;XOR;83;49,999670;70100;
Sigmoïde;XOR;84;49,999661;65500;
Sigmoïde;XOR;85;49,999652;66600;
Sigmoïde;XOR;86;49,999642;91100;
Sigmoïde;XOR;87;49,999632;69300;
Sigmoïde;XOR;88;49,999622;84100;
Sigmoïde;XOR;89;49,999612;73600;
Sigmoïde;XOR;90;49,999602;74600;
Sigmoïde;XOR;91;49,999591;73200;
Sigmoïde;XOR;92;49,999581;72900;
Sigmoïde;XOR;93;49,999570;73500;
Sigmoïde;XOR;94;49,999559;77900;
Sigmoïde;XOR;95;49,999548;73900;
Sigmoïde;XOR;96;49,999537;75100;
Sigmoïde;XOR;97;49,999526;75500;
Sigmoïde;XOR;98;49,999514;80400;
Sigmoïde;XOR;99;49,999503;77000;
Sigmoïde;XOR;100;49,999492;88700;
Sigmoïde;XOR;101;49,999481;111000;
Sigmoïde;XOR;102;49,999470;79500;
Sigmoïde;XOR;103;49,999459;80100;
Sigmoïde;XOR;104;49,999448;85400;
Sigmoïde;XOR;105;49,999438;81900;
Sigmoïde;XOR;106;49,999427;82200;
