Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Tanh;AND;10;42,188717;761700;
Tanh;AND;11;40,977400;168500;
Tanh;AND;12;38,854852;111400;
Tanh;AND;13;31,866676;134500;
Tanh;AND;14;26,466514;180100;
Tanh;AND;15;26,694946;178900;
Tanh;AND;16;26,111096;92100;
Tanh;AND;17;25,342255;78500;
Tanh;AND;18;24,553545;90100;
Tanh;AND;19;23,774625;60700;
Tanh;AND;20;23,013787;63100;
Tanh;AND;21;22,276898;80600;
Tanh;AND;22;21,568372;59700;
Tanh;AND;23;20,890699;90700;
Tanh;AND;24;20,244378;67400;
Tanh;AND;25;19,628164;94700;
Tanh;AND;26;19,039470;82500;
Tanh;AND;27;18,474876;91800;
Tanh;AND;28;17,930684;70300;
Tanh;AND;29;17,403375;73000;
Tanh;AND;30;16,889680;72500;
Tanh;AND;31;16,386146;99500;
Tanh;AND;32;15,888545;82400;
Tanh;AND;33;15,391846;118200;
Tanh;AND;34;14,890730;173300;
Tanh;AND;35;14,379764;120600;
Tanh;AND;36;13,852513;72000;
Tanh;AND;37;13,299559;104500;
Tanh;AND;38;12,705290;103600;
Tanh;AND;39;12,042013;133100;
Tanh;AND;40;11,257282;135200;
Tanh;AND;41;10,247649;132000;
Tanh;AND;42;8,840788;140100;
Tanh;AND;43;6,995759;146500;
Tanh;AND;44;5,203656;136600;
Tanh;AND;45;3,906510;176300;
Tanh;AND;46;3,050079;103200;
Tanh;AND;47;2,471697;121100;
Tanh;AND;48;2,062447;144900;
Tanh;AND;49;1,760031;157400;
Tanh;AND;50;1,528420;93400;
Tanh;AND;51;1,345830;109700;
Tanh;AND;52;1,198465;167200;
Tanh;AND;53;1,077208;163000;
Tanh;AND;54;0,975815;176700;
Tanh;AND;55;0,889869;207900;
Tanh;AND;56;0,816165;99200;
Tanh;AND;57;0,752320;171700;
Tanh;AND;58;0,696529;178800;
Tanh;AND;59;0,647398;176300;
Tanh;AND;60;0,603836;164700;
Tanh;AND;61;0,564974;166400;
Tanh;AND;62;0,530115;170900;
Tanh;AND;63;0,498692;187200;
Tanh;AND;64;0,470239;350600;
Tanh;AND;65;0,444368;176200;
Tanh;AND;66;0,420757;119000;
Tanh;AND;67;0,399135;114500;
Tanh;AND;68;0,379271;168100;
Tanh;AND;69;0,360968;120200;
Tanh;AND;70;0,344057;122500;
Tanh;AND;71;0,328393;178000;
Tanh;AND;72;0,313850;198600;
Tanh;AND;73;0,300316;181400;
Tanh;AND;74;0,287697;190600;
Tanh;AND;75;0,275907;194400;
Tanh;AND;76;0,264871;197000;
Tanh;AND;77;0,254524;202100;
Tanh;AND;78;0,244805;136900;
Tanh;AND;79;0,235664;131300;
Tanh;AND;80;0,227053;135400;
Tanh;AND;81;0,218930;141400;
Tanh;AND;82;0,211257;144900;
Tanh;AND;83;0,204000;143500;
Tanh;AND;84;0,197128;140000;
Tanh;AND;85;0,190614;143800;
Tanh;AND;86;0,184432;141300;
Tanh;AND;87;0,178558;143500;
Tanh;AND;88;0,172973;150700;
Tanh;AND;89;0,167656;154700;
Tanh;AND;90;0,162590;159900;
Tanh;AND;91;0,157759;153700;
Tanh;AND;92;0,153148;152700;
Tanh;AND;93;0,148743;153500;
Tanh;AND;94;0,144533;194400;
Tanh;AND;95;0,140504;191700;
Tanh;AND;96;0,136648;155200;
Tanh;AND;97;0,132953;161300;
