Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Tanh;OR;10;29,434369;47700;
Tanh;OR;11;21,411175;17300;
Tanh;OR;12;13,764327;26100;
Tanh;OR;13;8,523058;18600;
Tanh;OR;14;5,650211;32900;
Tanh;OR;15;4,028951;21800;
Tanh;OR;16;3,036479;38200;
Tanh;OR;17;2,383577;24400;
Tanh;OR;18;1,929086;26800;
Tanh;OR;19;1,598485;26800;
Tanh;OR;20;1,349513;51400;
Tanh;OR;21;1,156709;30700;
Tanh;OR;22;1,003952;78100;
Tanh;OR;23;0,880603;32400;
Tanh;OR;24;0,779387;40400;
Tanh;OR;25;0,695186;36400;
Tanh;OR;26;0,624302;36200;
Tanh;OR;27;0,564007;37500;
Tanh;OR;28;0,512248;48300;
Tanh;OR;29;0,467455;41300;
Tanh;OR;30;0,428408;42700;
Tanh;OR;31;0,394147;55400;
Tanh;OR;32;0,363908;46600;
Tanh;OR;33;0,337074;46700;
Tanh;OR;34;0,313144;48200;
Tanh;OR;35;0,291709;57900;
Tanh;OR;36;0,272429;52300;
Tanh;OR;37;0,255020;63700;
Tanh;OR;38;0,239245;53900;
Tanh;OR;39;0,224903;55100;
Tanh;OR;40;0,211824;56700;
Tanh;OR;41;0,199863;84600;
Tanh;OR;42;0,188894;59400;
Tanh;OR;43;0,178809;60900;
Tanh;OR;44;0,169516;62300;
Tanh;OR;45;0,160933;65500;
Tanh;OR;46;0,152988;68900;
Tanh;OR;47;0,145620;66600;
Tanh;OR;48;0,138773;68000;
Tanh;OR;49;0,132400;78500;
Tanh;OR;50;0,126457;74700;
Tanh;OR;51;0,120907;77500;
Tanh;OR;52;0,115714;78300;
Tanh;OR;53;0,110850;75500;
Tanh;OR;54;0,106286;77400;
Tanh;OR;55;0,101999;81600;
Tanh;OR;56;0,097967;79500;
Tanh;OR;57;0,094169;86200;
Tanh;OR;58;0,090587;82300;
Tanh;OR;59;0,087206;83200;
Tanh;OR;60;0,084011;110000;
Tanh;OR;61;0,080988;87400;
Tanh;OR;62;0,078126;88000;
Tanh;OR;63;0,075412;95200;
Tanh;OR;64;0,072837;95800;
Tanh;OR;65;0,070392;92400;
Tanh;OR;66;0,068067;93300;
Tanh;OR;67;0,065856;100800;
Tanh;OR;68;0,063751;102300;
Tanh;OR;69;0,061744;102800;
Tanh;OR;70;0,059831;100500;
Tanh;OR;71;0,058005;101000;
Tanh;OR;72;0,056261;111100;
Tanh;OR;73;0,054595;118600;
Tanh;OR;74;0,053001;104500;
Tanh;OR;75;0,051476;114100;
Tanh;OR;76;0,050016;107700;
Tanh;OR;77;0,048617;119900;
Tanh;OR;78;0,047275;115100;
Tanh;OR;79;0,045988;112300;
Tanh;OR;80;0,044753;117200;
Tanh;OR;81;0,043567;115700;
Tanh;OR;82;0,042427;116800;
Tanh;OR;83;0,041331;118600;
Tanh;OR;84;0,040277;130900;
Tanh;OR;85;0,039262;123100;
Tanh;OR;86;0,038286;119300;
Tanh;OR;87;0,037345;124000;
Tanh;OR;88;0,036438;126000;
Tanh;OR;89;0,035564;129100;
Tanh;OR;90;0,034721;126300;
Tanh;OR;91;0,033907;135400;
Tanh;OR;92;0,033122;170700;
Tanh;OR;93;0,032363;140900;
Tanh;OR;94;0,031630;138100;
Tanh;OR;95;0,030922;136600;
Tanh;OR;96;0,030237;149300;
Tanh;OR;97;0,029574;158600;
Tanh;OR;98;0,028933;142000;
Tanh;OR;99;0,028312;153300;
Tanh;OR;100;0,027712;152100;
Tanh;OR;101;0,027130;162000;
Tanh;OR;102;0,026566;145300;
Tanh;OR;103;0,026019;172100;
Tanh;OR;104;0,025489;150300;
Tanh;OR;105;0,024975;151500;
Tanh;OR;106;0,024476;148400;
Tanh;OR;107;0,023992;169000;
Tanh;OR;108;0,023522;121900;
Tanh;OR;109;0,023066;153800;
Tanh;OR;110;0,022623;125600;
Tanh;OR;111;0,022193;129700;
Tanh;OR;112;0,021774;125900;
Tanh;OR;113;0,021368;127200;
Tanh;OR;114;0,020972;135500;
Tanh;OR;115;0,020587;155100;
Tanh;OR;116;0,020213;135600;
Tanh;OR;117;0,019849;131800;
Tanh;OR;118;0,019495;136900;
Tanh;OR;119;0,019150;134000;
