Fonction;Operation;nbIteration;Marge d'erreur (%);Temps d'entrainement(nanosecondes);
Tanh;XOR;10;49,795645;21600;
Tanh;XOR;11;49,748174;15100;
Tanh;XOR;12;49,704713;24600;
Tanh;XOR;13;49,660597;18900;
Tanh;XOR;14;49,615441;34300;
Tanh;XOR;15;49,568269;25100;
Tanh;XOR;16;49,517350;23600;
Tanh;XOR;17;49,460263;22000;
Tanh;XOR;18;49,393863;23300;
Tanh;XOR;19;49,314060;24400;
Tanh;XOR;20;49,215317;32900;
Tanh;XOR;21;49,089614;28800;
Tanh;XOR;22;48,924285;67100;
Tanh;XOR;23;48,697015;33500;
Tanh;XOR;24;48,363410;31100;
Tanh;XOR;25;47,826193;32800;
Tanh;XOR;26;46,868599;34000;
Tanh;XOR;27;45,043269;42600;
Tanh;XOR;28;41,562583;42200;
Tanh;XOR;29;35,562048;40900;
Tanh;XOR;30;27,205988;50600;
Tanh;XOR;31;18,711231;33600;
Tanh;XOR;32;12,493348;34400;
Tanh;XOR;33;8,647610;35700;
Tanh;XOR;34;6,304312;37100;
Tanh;XOR;35;4,812456;41900;
Tanh;XOR;36;3,811167;40100;
Tanh;XOR;37;3,106548;41100;
Tanh;XOR;38;2,590680;42300;
Tanh;XOR;39;2,200486;43800;
Tanh;XOR;40;1,897292;44800;
Tanh;XOR;41;1,662668;49200;
Tanh;XOR;42;1,478671;47100;
Tanh;XOR;43;1,325865;48300;
Tanh;XOR;44;1,197308;49400;
Tanh;XOR;45;1,087925;50500;
Tanh;XOR;46;0,993928;51600;
Tanh;XOR;47;0,912445;59800;
Tanh;XOR;48;0,841257;53900;
Tanh;XOR;49;0,778629;55000;
Tanh;XOR;50;0,723184;90500;
Tanh;XOR;51;0,673821;99600;
Tanh;XOR;52;0,629644;73000;
Tanh;XOR;53;0,589924;76900;
Tanh;XOR;54;0,554056;97200;
Tanh;XOR;55;0,521539;80100;
Tanh;XOR;56;0,491951;76600;
Tanh;XOR;57;0,464938;97600;
Tanh;XOR;58;0,440199;87800;
Tanh;XOR;59;0,417475;91200;
Tanh;XOR;60;0,396547;96700;
Tanh;XOR;61;0,377222;120400;
Tanh;XOR;62;0,359336;72000;
Tanh;XOR;63;0,342745;73200;
Tanh;XOR;64;0,327322;83800;
